,Symbol,Order,Shares
2008-01-09,JPM,BUY,1000
2008-01-10,JPM,SELL,2000
2008-01-15,JPM,BUY,2000
2008-01-29,JPM,SELL,2000
2008-02-08,JPM,BUY,2000
2008-02-13,JPM,SELL,2000
2008-02-14,JPM,BUY,2000
2008-02-20,JPM,SELL,2000
2008-03-10,JPM,BUY,2000
2008-03-14,JPM,SELL,2000
2008-03-18,JPM,BUY,2000
2008-03-19,JPM,SELL,2000
2008-03-26,JPM,BUY,2000
2008-04-01,JPM,SELL,2000
2008-04-04,JPM,BUY,2000
2008-04-08,JPM,SELL,2000
2008-04-10,JPM,BUY,2000
2008-04-16,JPM,SELL,2000
2008-04-17,JPM,BUY,2000
2008-04-25,JPM,SELL,2000
2008-04-29,JPM,BUY,2000
2008-05-01,JPM,SELL,2000
2008-05-08,JPM,BUY,2000
2008-05-12,JPM,SELL,2000
2008-06-09,JPM,BUY,2000
2008-06-13,JPM,SELL,2000
2008-06-18,JPM,BUY,2000
2008-06-19,JPM,SELL,2000
2008-06-23,JPM,BUY,2000
2008-06-24,JPM,SELL,2000
2008-06-30,JPM,BUY,2000
2008-07-03,JPM,SELL,2000
2008-07-10,JPM,BUY,2000
2008-07-17,JPM,SELL,2000
2008-07-24,JPM,BUY,2000
2008-07-29,JPM,SELL,2000
2008-07-30,JPM,BUY,2000
2008-08-07,JPM,SELL,2000
2008-08-08,JPM,BUY,2000
2008-08-11,JPM,SELL,2000
2008-08-21,JPM,BUY,2000
2008-08-22,JPM,SELL,2000
2008-08-25,JPM,BUY,2000
2008-09-04,JPM,SELL,2000
2008-09-05,JPM,BUY,2000
2008-09-08,JPM,SELL,2000
2008-09-09,JPM,BUY,2000
2008-09-10,JPM,SELL,2000
2008-09-12,JPM,BUY,2000
2008-09-18,JPM,SELL,2000
2008-09-19,JPM,BUY,2000
2008-09-26,JPM,SELL,2000
2008-09-29,JPM,BUY,2000
2008-09-30,JPM,SELL,2000
2008-10-07,JPM,BUY,2000
2008-10-10,JPM,SELL,2000
2008-10-20,JPM,BUY,2000
2008-10-21,JPM,SELL,2000
2008-10-22,JPM,BUY,2000
2008-10-31,JPM,SELL,2000
2008-11-05,JPM,BUY,2000
2008-11-07,JPM,SELL,2000
2008-11-14,JPM,BUY,2000
2008-11-18,JPM,SELL,2000
2008-11-19,JPM,BUY,2000
2008-12-04,JPM,SELL,2000
2008-12-12,JPM,BUY,2000
2008-12-16,JPM,SELL,2000
2008-12-22,JPM,BUY,2000
2008-12-26,JPM,SELL,2000
2009-01-05,JPM,BUY,2000
2009-01-06,JPM,SELL,2000
2009-01-07,JPM,BUY,2000
2009-01-08,JPM,SELL,2000
2009-01-09,JPM,BUY,2000
2009-01-13,JPM,SELL,2000
2009-01-16,JPM,BUY,2000
2009-01-27,JPM,SELL,2000
2009-01-30,JPM,BUY,2000
2009-02-02,JPM,SELL,2000
2009-02-03,JPM,BUY,2000
2009-02-04,JPM,SELL,2000
2009-02-05,JPM,BUY,2000
2009-02-06,JPM,SELL,2000
2009-02-10,JPM,BUY,2000
2009-02-12,JPM,SELL,2000
2009-02-13,JPM,BUY,2000
2009-02-17,JPM,SELL,2000
2009-02-18,JPM,BUY,2000
2009-02-25,JPM,SELL,2000
2009-03-04,JPM,BUY,2000
2009-03-12,JPM,SELL,2000
2009-03-16,JPM,BUY,2000
2009-03-23,JPM,SELL,2000
2009-03-27,JPM,BUY,2000
2009-04-01,JPM,SELL,2000
2009-04-02,JPM,BUY,2000
2009-04-09,JPM,SELL,2000
2009-04-14,JPM,BUY,2000
2009-04-22,JPM,SELL,2000
2009-04-27,JPM,BUY,2000
2009-05-04,JPM,SELL,2000
2009-05-11,JPM,BUY,2000
2009-05-14,JPM,SELL,2000
2009-05-19,JPM,BUY,2000
2009-05-26,JPM,SELL,2000
2009-06-03,JPM,BUY,2000
2009-06-09,JPM,SELL,2000
2009-06-17,JPM,BUY,2000
2009-06-25,JPM,SELL,2000
2009-07-06,JPM,BUY,2000
2009-07-09,JPM,SELL,2000
2009-07-13,JPM,BUY,2000
2009-08-03,JPM,SELL,2000
2009-08-06,JPM,BUY,2000
2009-08-10,JPM,SELL,2000
2009-08-11,JPM,BUY,2000
2009-08-21,JPM,SELL,2000
2009-09-01,JPM,BUY,2000
2009-09-17,JPM,SELL,2000
2009-09-25,JPM,BUY,2000
2009-09-30,JPM,SELL,2000
2009-10-02,JPM,BUY,2000
2009-10-07,JPM,SELL,2000
2009-10-08,JPM,BUY,2000
2009-10-14,JPM,SELL,2000
2009-10-21,JPM,BUY,2000
2009-10-23,JPM,SELL,2000
2009-10-28,JPM,BUY,2000
2009-11-05,JPM,SELL,2000
2009-11-18,JPM,BUY,2000
2009-11-23,JPM,SELL,2000
2009-12-17,JPM,BUY,2000
2009-12-21,JPM,SELL,2000
2009-12-31,JPM,BUY,1000
