,Symbol,Order,Shares
2010-01-11,JPM,SELL,1000
2010-01-27,JPM,BUY,2000
2010-01-28,JPM,SELL,2000
2010-02-09,JPM,BUY,2000
2010-02-12,JPM,SELL,2000
2010-03-03,JPM,BUY,2000
2010-03-18,JPM,SELL,2000
2010-03-19,JPM,BUY,2000
2010-04-14,JPM,SELL,2000
2010-04-21,JPM,BUY,2000
2010-04-23,JPM,SELL,2000
2010-05-25,JPM,BUY,2000
2010-05-27,JPM,SELL,2000
2010-06-30,JPM,BUY,2000
2010-07-12,JPM,SELL,2000
2010-07-19,JPM,BUY,2000
2010-08-02,JPM,SELL,2000
2010-08-12,JPM,BUY,2000
2010-08-17,JPM,SELL,2000
2010-08-31,JPM,BUY,2000
2010-09-02,JPM,SELL,2000
2010-09-07,JPM,BUY,2000
2010-09-15,JPM,SELL,2000
2010-11-01,JPM,BUY,2000
2010-11-03,JPM,SELL,2000
2010-11-18,JPM,BUY,2000
2010-11-19,JPM,SELL,2000
2010-11-24,JPM,BUY,2000
2010-12-06,JPM,SELL,2000
2010-12-15,JPM,BUY,2000
2010-12-17,JPM,SELL,2000
2010-12-20,JPM,BUY,2000
2011-02-09,JPM,SELL,2000
2011-02-10,JPM,BUY,2000
2011-02-16,JPM,SELL,2000
2011-03-03,JPM,BUY,2000
2011-03-09,JPM,SELL,2000
2011-03-17,JPM,BUY,2000
2011-04-06,JPM,SELL,2000
2011-04-18,JPM,BUY,2000
2011-04-19,JPM,SELL,2000
2011-04-20,JPM,BUY,2000
2011-04-29,JPM,SELL,2000
2011-05-10,JPM,BUY,2000
2011-05-11,JPM,SELL,2000
2011-06-24,JPM,BUY,2000
2011-06-27,JPM,SELL,2000
2011-06-29,JPM,BUY,2000
2011-07-01,JPM,SELL,2000
2011-07-13,JPM,BUY,2000
2011-07-14,JPM,SELL,2000
2011-07-18,JPM,BUY,2000
2011-07-21,JPM,SELL,2000
2011-08-08,JPM,BUY,2000
2011-08-11,JPM,SELL,2000
2011-08-16,JPM,BUY,2000
2011-08-29,JPM,SELL,2000
2011-09-07,JPM,BUY,2000
2011-09-14,JPM,SELL,2000
2011-09-21,JPM,BUY,2000
2011-09-22,JPM,SELL,2000
2011-09-29,JPM,BUY,2000
2011-10-04,JPM,SELL,2000
2011-10-05,JPM,BUY,2000
2011-10-06,JPM,SELL,2000
2011-10-07,JPM,BUY,2000
2011-10-10,JPM,SELL,2000
2011-10-13,JPM,BUY,2000
2011-10-21,JPM,SELL,2000
2011-11-17,JPM,BUY,2000
2011-11-18,JPM,SELL,2000
2011-11-21,JPM,BUY,2000
2011-12-05,JPM,SELL,2000
2011-12-13,JPM,BUY,2000
2011-12-16,JPM,SELL,2000
